County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Cuyahoga,Ohio,US,41.424119,-81.65918339,"Cuyahoga, Ohio, US",826,871,911,960,1014,1052,1113,1152,1197,1239,1281,1331,1383,1453,1466,1577,1653,1713,1768,1817,1867,1902,1938,1984,2030,2126,2217,2305,2338,2398,2428
Darke,Ohio,US,40.13412966,-84.6194517,"Darke, Ohio, US",32,32,34,38,40,40,42,45,49,50,52,55,55,55,56,57,58,62,62,74,75,75,75,75,76,76,76,76,77,77,77
Defiance,Ohio,US,41.32398837,-84.49076944,"Defiance, Ohio, US",7,8,9,10,10,11,11,11,12,12,12,12,13,13,14,15,15,17,17,18,19,19,19,20,20,20,20,20,20,20,21
Delaware,Ohio,US,40.27942393,-83.00457058,"Delaware, Ohio, US",70,77,77,79,84,88,89,94,96,99,108,114,119,119,123,122,127,128,132,137,138,143,148,151,153,160,163,168,175,179,184
Erie,Ohio,US,41.36796058,-82.62904521,"Erie, Ohio, US",8,10,10,10,10,10,10,10,12,14,16,19,23,27,33,37,37,44,43,44,47,47,49,52,54,56,56,58,58,60,67
Fairfield,Ohio,US,39.75107189,-82.63088163,"Fairfield, Ohio, US",46,54,59,65,68,73,78,81,84,90,92,96,95,97,97,99,101,106,109,108,110,114,116,121,129,137,138,140,150,152,155
Fayette,Ohio,US,39.56021306,-83.4562016,"Fayette, Ohio, US",2,2,2,4,5,5,7,9,10,12,12,12,12,13,13,13,13,13,13,13,13,13,14,15,15,15,16,17,20,20,21
Franklin,Ohio,US,39.96995815,-83.01115755,"Franklin, Ohio, US",597,644,703,761,802,850,894,943,1012,1053,1102,1212,1320,1403,1513,1510,1557,1598,1673,1768,1839,1942,2005,2090,2216,2441,2589,2698,2905,2988,3097
Fulton,Ohio,US,41.60213491,-84.12571393,"Fulton, Ohio, US",5,5,5,5,5,5,6,7,7,7,8,10,13,14,17,16,16,18,18,18,19,19,19,20,21,22,24,24,24,26,29
Gallia,Ohio,US,38.82708533,-82.31647569,"Gallia, Ohio, US",4,4,4,4,4,4,4,5,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Geauga,Ohio,US,41.49952319,-81.17935342,"Geauga, Ohio, US",38,40,41,44,47,49,53,61,68,69,82,92,96,98,100,105,113,117,119,126,128,137,146,148,153,154,155,159,163,169,172
Greene,Ohio,US,39.69116283,-83.89032084,"Greene, Ohio, US",13,15,20,21,21,22,24,28,30,31,31,33,33,39,38,39,39,39,40,40,41,43,45,45,46,46,46,48,48,49,50
Guernsey,Ohio,US,40.05026529,-81.49248905,"Guernsey, Ohio, US",1,2,1,2,4,5,5,6,6,7,10,10,10,10,11,12,12,15,15,15,15,15,15,15,15,15,15,16,19,19,19
Hamilton,Ohio,US,39.19673558,-84.54502924,"Hamilton, Ohio, US",319,394,411,437,473,504,529,535,558,576,594,615,658,701,718,735,768,785,868,932,975,1005,1048,1091,1150,1218,1297,1353,1380,1434,1480
Hancock,Ohio,US,41.00250487,-83.66838948,"Hancock, Ohio, US",11,14,15,17,16,17,20,19,19,20,23,25,27,30,29,30,29,30,32,34,34,34,35,37,37,37,37,38,38,39,39
Hardin,Ohio,US,40.66015414,-83.65929931,"Hardin, Ohio, US",1,2,2,2,3,4,4,5,8,11,11,12,13,15,17,17,20,20,20,21,23,23,22,24,24,25,25,26,26,26,26
Harrison,Ohio,US,40.29380509,-81.09068544,"Harrison, Ohio, US",0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,6,6,6
Henry,Ohio,US,41.3339642,-84.06830637,"Henry, Ohio, US",0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6
Highland,Ohio,US,39.1839264,-83.60331456,"Highland, Ohio, US",4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,9,10,10,11,11,10,10,10,11,11
Hocking,Ohio,US,39.49537927,-82.47991446,"Hocking, Ohio, US",0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,5,5,5,6,11,14,16,16,16,18,18,19,19,19,19
Holmes,Ohio,US,40.56163713,-81.92635677,"Holmes, Ohio, US",1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6
Huron,Ohio,US,41.14651175,-82.59867951,"Huron, Ohio, US",6,9,10,9,10,10,15,14,14,14,14,16,16,15,16,20,23,25,24,25,27,28,29,30,30,29,29,31,31,32,33
Jackson,Ohio,US,39.01914254,-82.61818560000000,"Jackson, Ohio, US",0,0,0,2,2,2,2,2,2,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6
Jefferson,Ohio,US,40.38614126,-80.76259514,"Jefferson, Ohio, US",14,15,15,18,19,20,23,24,24,24,24,24,24,26,28,30,31,31,33,33,35,37,39,42,43,43,43,43,45,45,46
Knox,Ohio,US,40.39830217,-82.42027563,"Knox, Ohio, US",7,7,7,7,8,9,9,10,10,10,10,11,11,11,11,13,13,13,14,15,15,15,15,15,16,16,16,18,18,19,19
